Title,Duration
"""13 Reasons Why: Temporada 1: Fita 1",0 days 01:42:03
"""13 Reasons Why: Temporada 1: Fita 2",0 days 01:53:19
"""13 Reasons Why: Temporada 1: Fita 3",0 days 01:47:19
"""13 Reasons Why: Temporada 1: Fita 4",0 days 01:44:20
"""13 Reasons Why: Temporada 1: Fita 5",0 days 02:17:06
"""13 Reasons Why: Temporada 1: Fita 6",0 days 02:10:31
"""13 Reasons Why: Temporada 1: Fita 7",0 days 01:00:03
"""13 Reasons Why: Temporada 2: Sorriam",0 days 00:50:38
"""13 Reasons Why: Temporada 3: Sim",0 days 00:03:00
"""A Anatomia de Grey: Temporada 13: Olhe",0 days 00:29:44
"""A Anatomia de Grey: Temporada 1: Ganhamos a batalha",0 days 01:26:23
"""A Anatomia de Grey: Temporada 1: Longa noite",0 days 01:22:23
"""A Anatomia de Grey: Temporada 3: Oh",0 days 00:42:00
"""A Anatomia de Grey: Temporada 3: Testando 1",0 days 00:45:51
"""A Anatomia de Grey: Temporada 3: Ã€s vezes",0 days 00:42:31
"""A Anatomia de Grey: Temporada 4: AtraÃ§Ã£o fÃ­sica",0 days 00:47:17
"""A Anatomia de Grey: Temporada 7: Com vocÃª",0 days 00:49:00
"""A Anatomia de Grey: Temporada 7: Noites em claro",0 days 00:42:50
"""A Anatomia de Grey: Temporada 8: Amor",0 days 00:43:05
"""A Anatomia de Grey: Temporada 9: Corra",0 days 00:43:20
"""A Casa do Mickey Mouse: Temporada 1: Margarida",0 days 00:24:07
"""A Casa do Mickey Mouse: Temporada 2: Margarida",0 days 00:22:59
"""A Casa do Mickey Mouse: Temporada 2: Pateta",0 days 00:50:49
"""Alexandre e o Dia TerrÃ­vel",0 days 00:00:08
"""Bates Motel: Temporada 1: Adorei sua escolha de cidade",0 days 01:24:20
"""Bates Motel: Temporada 1: Primeiro vocÃª sonha",0 days 01:32:22
"""Bates Motel: Temporada 4: Boa noite",0 days 00:54:41
"""Black Butler: Temporada 1: Seu Mordomo",0 days 04:03:42
"""Bom Dia",0 days 01:17:46
"""Branco Sai",0 days 00:08:52
"""Brincando com Fogo: Temporada 1: Amor",0 days 00:40:11
"""Casamento Ã s Cegas: Brasil: Season 1: Sim",0 days 00:24:21
"""ChatÃ´",0 days 00:08:07
"""Chesapeake Shores: Temporada 2: Segredos",0 days 00:00:03
"""Cine Gibi: Temporada 1: Turma da MÃ´nica: Cine Gibi 1",0 days 00:02:28
"""Como Defender um Assassino: Temporada 1: Me mate",0 days 01:24:24
"""Como Defender um Assassino: Temporada 2: Dois coelhos",0 days 02:04:32
"""Como Defender um Assassino: Temporada 2: O que aconteceu com vocÃª",0 days 00:41:48
"""Como Defender um Assassino: Temporada 2: Oi",0 days 01:24:11
"""Como Defender um Assassino: Temporada 4: Aguenta firme",0 days 00:41:58
"""Como Defender um Assassino: Temporada 5: Por favor",0 days 00:42:36
"""Como vender drogas online (rÃ¡pido): Temporada 1: A vida nÃ£o Ã© justa",0 days 00:29:08
"""Como vender drogas online (rÃ¡pido): Temporada 1: Nerds hoje",0 days 00:31:35
"""Como vender drogas online (rÃ¡pido): Temporada 1: Se isso Ã© a realidade",0 days 00:27:49
"""Como vender drogas online (rÃ¡pido): Temporada 1: Se vocÃª Ã© o mais esperto na sala",0 days 00:28:06
"""Como vender drogas online (rÃ¡pido): Temporada 3: Um vacilo",0 days 00:33:58
"""Como vender drogas online (rÃ¡pido): Temporada 3: Uma contravenÃ§Ã£o",0 days 00:33:15
"""Criando Dion: Temporada 1: QuestÃ£o 104: Bem-vindo",0 days 00:48:12
"""Croods",0 days 00:02:53
"""Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado",0 days 05:51:59
"""Dennis",0 days 00:20:29
"""Desejo Sombrio: Temporada 1: Amor",0 days 01:03:58
"""Desejo Sombrio: Temporada 1: Duas verdades",0 days 01:05:15
"""Dexter: Temporada 2: Dex",0 days 00:53:19
"""Dexter: Temporada 2: That Night",0 days 00:50:24
"""Dexter: Temporada 4: OlÃ¡",0 days 01:38:02
"""Dexter: Temporada 5: OlÃ¡",0 days 00:51:26
"""Dexter: Temporada 7: Surpresa",0 days 00:55:35
"""Dexter: Temporada 8: Adeus",0 days 01:38:00
"""DragÃµes: Corrida atÃ© o Limite: Temporada 1: Com dragÃ£o",0 days 00:43:42
"""DragÃµes: Corrida atÃ© o Limite: Temporada 1: Picada",0 days 00:48:03
"""DragÃµes: Corrida atÃ© o Limite: Temporada 3: LeilÃ£o de dragÃ£o",0 days 00:25:59
"""DragÃµes: Corrida atÃ© o Limite: Temporada 4: Melequento",0 days 00:44:41
"""EDENS ZERO: Temporada 1: Minha mÃ£e",0 days 00:20:22
"""Eu",0 days 01:43:41
"""Expresso do AmanhÃ£: Temporada 1: Primeiro",0 days 00:53:52
"""Expresso do AmanhÃ£: Temporada 2: Toma lÃ¡",0 days 00:49:17
"""Fuller House: Temporada 1: O primeiro episÃ³dio",0 days 00:37:48
"""Fullmetal Alchemist: Temporada 1: Tudo Ã© um",0 days 00:20:28
"""Galinha Pintadinha Mini: Temporada 1: Apaga",0 days 00:11:10
"""George",0 days 03:50:19
"""Gilmore Girls: Tal MÃ£e",0 days 02:47:24
